,movie_name,year,imdb_rating,meta_rating,total_votes
399,Long Day's Journey Into Night,2018,7.2,88        ,1056
400,The Most Unknown,2018,6.6,59        ,1040
401,Monsters and Men,2018,5.5,68        ,1037
402,Knife+Heart,2018,5.9,64        ,1029
403,Pity,2018,6.7,77        ,1028
404,Patrick,2018,5.7,28        ,1028
405,Pledge,2018,5.5,54        ,1026
406,Bigger,2018,6.6,37        ,1022
407,The Image Book,2018,6.4,76        ,1014
408,The Cleaners,2018,7.3,70        ,1010
409,Holiday,2018,6.0,80        ,1010
410,And Breathe Normally,2018,6.9,77        ,984
411,Tea with the Dames,2018,7.3,85        ,946
412,Where Hands Touch,2018,5.5,45        ,938
413,In a Relationship,2018,5.5,51        ,930
414,The Party's Just Beginning,2018,6.2,71        ,930
415,Matangi/Maya/M.I.A.,2018,7.6,70        ,927
416,Non-Fiction,2018,6.5,82        ,924
417,The Monkey King 3,2018,5.5,51        ,912
418,Monster Hunt 2,2018,5.3,63        ,910
419,The Island,2018,6.3,61        ,906
420,"Hale County This Morning, This Evening",2018,6.4,85        ,895
421,Bayou Caviar,2018,6.2,36        ,888
422,Social Animals,2018,5.2,37        ,867
423,"Love, Gilda",2018,7.4,74        ,852
424,Half Magic,2018,4.6,49        ,845
425,Seeing Allred,2018,6.7,68        ,813
426,Believer,2018,6.3,58        ,812
427,Level 16,2018,5.9,46        ,799
428,The Ranger,2018,5.1,54        ,795
429,The Apparition,2018,6.4,64        ,757
430,1985,2018,6.6,71        ,735
431,Loveling,2018,7.3,81        ,735
432,Dragged Across Concrete,2018,8.2,58        ,721
433,All the Devil's Men,2018,5.0,27        ,719
434,Nostalgia,2018,5.4,47        ,715
435,At War,2018,7.0,59        ,699
436,Asako I & II,2018,6.6,62        ,687
437,Don't Go,2018,5.1,45        ,687
438,All About Nina,2018,5.6,70        ,686
439,Indivisible,2018,5.6,53        ,686
440,Survivors Guide to Prison,2018,7.1,66        ,686
441,Braid,2018,5.2,60        ,680
442,Diamantino,2018,6.5,83        ,659
443,Yomeddine,2018,7.1,59        ,656
444,Mercury 13,2018,6.7,82        ,654
445,They Remain,2018,4.2,49        ,651
446,The Prayer,2018,6.9,72        ,643
447,By the Grace of God,2018,7.5,76        ,639
448,Reversing Roe,2018,7.3,70        ,634
449,Untogether,2018,5.8,46        ,630
450,Styx,2018,7.1,78        ,629
451,Rafiki,2018,6.4,62        ,627
452,Don't Leave Home,2018,4.8,65        ,626
453,Delirium,2018,3.2,27        ,626
454,The New Romantic,2018,5.8,55        ,622
455,Here and Now,2018,4.4,45        ,609
456,Hotel Mumbai,2018,7.1,66        ,595
457,Eva,2018,4.6,38        ,592
458,Perfectos desconocidos,2018,6.7,63        ,584
459,Dark Money,2018,7.1,72        ,581
460,Knuckleball,2018,5.7,57        ,579
461,The Escape of Prisoner 614,2018,4.5,31        ,576
462,Viking Destiny,2018,4.1,25        ,573
463,Been So Long,2018,5.4,74        ,572
464,Measure of a Man,2018,6.2,53        ,555
465,Daughter of Mine,2018,6.3,74        ,551
466,Postcards from London,2018,5.0,42        ,547
467,Girls of the Sun,2018,6.0,59        ,541
468,Supercon,2018,3.7,9        ,537
469,Cruise,2018,5.2,46        ,533
470,Snapshots,2018,7.0,63        ,524
471,The Basement,2018,3.7,27        ,520
472,In Fabric,2018,7.1,84        ,518
473,God Bless the Broken Road,2018,5.1,31        ,515
474,Little Women,2018,4.6,40        ,509
475,Pick of the Litter,2018,7.6,67        ,507
476,Pass Over,2018,5.7,73        ,501
477,Tyrel,2018,5.3,71        ,492
478,Gloria Bell,2018,6.7,82        ,491
479,Pimp,2018,4.8,44        ,480
480,Ya Veremos,2018,5.5,25        ,478
481,Angel Face,2018,6.0,37        ,468
482,The Amityville Murders,2018,5.0,35        ,467
483,Paradox,2018,3.9,29        ,466
484,Our Time,2018,7.1,38        ,439
485,Donnybrook,2018,5.8,53        ,436
486,"Westwood: Punk, Icon, Activist",2018,5.9,64        ,436
487,Run the Race,2018,6.4,35        ,435
488,State Like Sleep,2018,4.2,48        ,430
489,Ophelia,2018,7.0,65        ,426
490,Alt-Right: Age of Rage,2018,5.6,67        ,423
491,After Everything,2018,6.4,67        ,423
492,Buffalo Boys,2018,6.8,48        ,421
493,The Price of Everything,2018,7.1,76        ,419
494,Crime + Punishment,2018,7.5,88        ,403
495,The Death and Life of John F. Donovan,2018,6.2,28        ,391
496,Path of Blood,2018,6.9,63        ,383
497,Giant Little Ones,2018,7.3,66        ,373
498,Bad Reputation,2018,7.4,66        ,370
499,The Fall of the American Empire,2018,7.4,63        ,370
500,Grass,2018,6.9,75        ,365
501,Kusama: Infinity,2018,7.1,71        ,362
502,King in the Wilderness,2018,7.8,97        ,358
503,Liz and the Blue Bird,2018,7.2,67        ,357
504,Night Comes On,2018,6.6,79        ,346
505,All Is True,2018,5.7,56        ,342
506,Stella's Last Weekend,2018,6.3,60        ,338
507,The Nightingale,2018,6.1,78        ,329
508,Viper Club,2018,5.5,57        ,327
509,Her Smell,2018,6.1,65        ,324
510,An Acceptable Loss,2018,4.9,40        ,322
511,The Panama Papers,2018,7.3,76        ,318
512,Songwriter,2018,7.1,41        ,318
513,The Sentence,2018,6.8,69        ,315
514,The Unicorn,2018,5.2,55        ,311
515,A Paris Education,2018,6.3,52        ,311
516,Hover,2018,3.6,40        ,303
517,The Quietude,2018,6.1,61        ,301
518,The Hummingbird Project,2018,6.9,53        ,281
519,Blood Brother,2018,4.9,18        ,283
520,John McEnroe: In the Realm of Perfection,2018,6.6,82        ,281
521,Ray & Liz,2018,7.0,84        ,281
522,A Faithful Man,2018,6.3,64        ,275
523,Science Fair,2018,7.8,79        ,269
